,,,,KADAMBA MESS MONSOON'19 MENU,,,,
MEAL,ITEMS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
,,,,,,,,
BREAKFAST,ITEM 1,UTTAPAM/ POORI,ALOO PARATHA,IDLY,MEDU WADA,PESARATTU/DOSA,MIXED VEG/PANEER PARATHA,IDLY
,ITEM2,PONGAL/UPMA,CORN FLAKES,BREAD BUTTER JAM,VEG POHA,DALIYA UPMA,SEMIYA UPMA,BREAD BUTTER JAM
,ACCOMPANIMENT,SAMBAR/ ALOO BHAJI,KHATTA MEETHA,SAMBAR,SAMBAR,SAMBAR,KHATTA MEETHA,SAMBAR
,,CHUTNEY GINGER,CHUTNEY,"CHUTNEY PALLI, GHEE-KARAM",CHUTNEY COCONUT,GINGER CHUTNEY,CHUTNEY PALLI,"CHUTNEY COCONUT, GHEE-KARAM"
,NON VEG,BOILED EGG,BOILED EGG,OMELETTE,BOILED EGG,OMELETTE,BOILED EGG,OMELETTE
,MILK,MILK,MILK,MILK,MILK,MILK,MILK,MILK
,HOT BEVERAGE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE
,FRUIT,MUSK MELON,BANANA,PAPAYA,WATER MELON,PAPAYA,PINEAPPLE,BANANA
,,,,,,,,
LUNCH,SALAD,GREEN,KOSAMBARI,ONION AND LEMON,GREEN,CORN SALAD,PEANUT,ONION WITH LEMON
,CURRY 1,BHINDI DO PYAZA,ARVI FRY,CHOLE,CABBAGE DRY,MIX VEG PORIYAL,DONDA FRY/ DUM,BEETROOT PORIYAL
,CUURY 2,LOBIYA MASALA,RAJMA,"MIRCHI KA SALAN ,RAITA",KOFTA CURRY,MUTTER PANEER,KADI PAKODI,WHITE BATANA
,FLAVOURED RICE,LEMON RICE/ PULIHORA,,VEG BIRYANI,,,,VEG. BIRYANI
,NON VEG,,,CHICKEN BIRYANI,,,,CHICKEN BIRYANI
,DAL,PALAK DAL,,DAL TADKA,GREEN MOONG DAL,YELLOW DAL,GONGURA DAL/PINDI CHOLE,
,SWEET,,,,SWEET,,,SWEET
,EVERYDAY,"RICE, PHULKA","RICE, PALAK PHULKA","RICE, PHULKA","RICE, PHULKA","RICE, PHULKA","RICE, PHULKA","RICE, PHULKA"
,,"CURD, KHICHDI","CURD, KHICHDI","CURD, KHICHDI","CURD, MILLET KHICHDI","CURD, KHICHDI","CURD, KHICHDI","CURD, KHICHDI"
,,SAMBAR,SAMBAR,SAMBAR,RASAM,SAMBAR,SAMBAR,SAMBAR
,CHUTNEY,PUDINA COCONUT CHUTNEY,GONGURA CHUTNEY,DONDA CHUTNEY,DASAKAYA CHUTNEY,TOMATO CHUTNEY,CABBAGE CHUTNEY,KOTMIR PUDINA HARI CHUTNEY
,NON SPICY DAL & VEGETABLES,NON SPICY DAL & VEGETABLES,NON SPICY DAL & VEGETABLESNON SPICY DAL & VEGETABLESNON SPICY DAL & VEGETABLESNON SPICY DAL & VEGETABLESNON SPICY DAL & VEGETABLES,,,,,NON SPICY DAL & VEGETABLES
SNACKS,ITEM,SAMOSA WITH CHUTNEY,ALOO/VEG CUTLET,PUNUGULU,CHAAT,PAV BHAJI,PASTA,BHEL POORI
,HOT BEVERAGE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE,TEA / COFFEE
DINNER,ITEM 1,CABBAGE/CAULIFLOWER,BRINJAL,PANEER,SOYA MASALA,"KURKURE BHINDI/BHINDI
MASALA",CAPSICUM MASALA,DUM ALOO/ ALOO 65
,ITEM 2,TOORAI CHANNA,YAM FRY,RAW BANANA PORIYAL,ALOO METHI,PUMPKIN,,VEG. MANCHURIAN WET
,FLAVOURED RICE,,,,,,,FRIED RICE
,DAL,DAL FRY,DAL MAKHANI,TOMATO DAL,PALAK DAL,DAL TRIVENI,CHOLE/MIX VEG KHORMA,DAL TADKA
,SWEET,,SWEET,,,,SWEET,
,ROTI,PHULKA,CHAPATI,PHULKA,CHAPATI,TANDOORI / BUTTER NAAN,POORI/ BHATURE,PHULKA
,EVERYDAY,"PLAIN RICE, FRYUMS",PLAIN RICE,"PLAIN RICE, FRYUMS",PLAIN RICE,"PLAIN RICE, FRYUMS","PLAIN RICE, FRYUMS","PLAIN RICE, FRYUMS"
,,"CURD, KHICHDI","CURD, KHICHDI","CURD, KHICHDI","CURD, KHICHDI","CURD, KHICHDI","CURD, KHICHDI","CURD, KHICHDI, HOT GARLIC SAUCE"
,NON VEG,DRY CHICKEN,,,EGG CURRY/ FISH CURRY,WET CHICKEN CURRY,,
,CHUTNEY,DOSAKAYA CHUNEY,ONION CHUTNEY,CABBAGE CHUTNEY,GONGURA CHUTNEY,DONDA CHUTNEY,TOMATO CHUTNEY,SORAKAYA CHUTNEY
,RASAM,MAJJIGA PULUSU,SAMBAR,,SAMBAR,RASAM,PACCHI PULUSU,
,SOUP,,,VEG. CLEAR SOUP,,,,HOT AND SOUR SOUP
,,"SEMIYA KHEER, LADOO, CUSTARD, DOUBLE KA MEETHA,",,,,,,
,,"GULAB/KALA JAMOON, HALWA, JALEBI, BADUSHA, KADDU",,,,,,
,SWEET,KHEER,,,,,,
,,"MUTTER PANEER, PALAK PANEER, PANEER BUTTER MASALA,",,,,,,
,,SHAHI PANEER,,,,,,
,PANEER,,,,,,,
