,,,,SOUTH MESS MONSOON'19 MENU,,,,
MEAL,ITEMS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
,Item 1,,,,,,,
,Item 2,Kanchipuram idly,Utappam,Idly,Wada,Pesarattu/ Dosa with Onion,Mysore Bonda,Paneer/Corn Dosa
BREAK,,Semiya Upma,Poha,Punugulu,Pongal,Tomato bath,Uggani,Bread-Butter-Jam
FAST,Accompaniment,Putana Coconut Chutney,Peanut Chutney,Putana Coconut Chutney,Putana Coconut Chutney,Groundnut Chutney,Groundnut Chutney,Groundnut Chutney
,,Sambar,Sambar,Sambar,Sambar,Sambar,Sambar,Sambar
,Fruit,Karam Podi+ Ghee,Allam Chutney,Karam Podi+ Ghee,,Ulli karam/tomato chutney,Allam Chutney,Sev
,Fry,Pineapple,Muskmelon,Banana,Papaya,Grape Juice,Watermelon,Sprouts
,Curry,,,,,,,
,Dal,,,,,,,
LUNCH,Stew,,,,,,,
,Salad,Dondakaya Vepudu,Beans Carrot Poriyal,,Bendi Peanut Fry,Beetroot Dum fry,Kakarkaya Fry,Kanda Fry/ French Fries
,Sweet,Vankaya Batani Curry,Mill Maker Masala,Mirchi Ka Salan,Guthi Vankaya masala,Drumstick Curry,Kofta Curry,Capsicum Masala
,Spl Rice,Palakura Pappu,Tomato Pappu,Thotakura Pappu,Sorakaya Pappu,Dosakaya Pappu,Gongura Pappu,Methi Dal
,Roti,Mix. Veg Soup,Rasam,Kobbari Charu,Pasta Soup,Sambar,Pacchi Pulusu/Chamagadda,Sambar
,Chutney,Green Salad,Peanut Salad,Onion Salad,Green Salad,Kosambari Salad,Corn/Green Salad,Onion Salad
,Accompaniment,,Semiya/Rice Payasam,,,Badusha/Poornam,,Fruit Custard
,Compasary Items,,Veg Pulav,Veg Dum Biryani,Gongura Rice,Lemon Rice/ Pulihora,Vangi bath/Veg fried rice,Veg Dum Biryani
SNACKS,Item,Paratha,,,Roti,,Roti,
,Accompaniment,Cabbage Pachhadi,Kariveypaku podi,Dosakaya mukkala pachadi,Dondakaya Pachadi,Beerakaya Chutney,Kobbari karam podi,Gongura Chutney
,Fry,Besibilla Bath with Boondi,Raitha,"Raitha, Papad","Kichidi, Bread Croutons",,Mudda Pappu,Raita Papad
,Curry,"White Rice, Curd, Ghee, Fryums","White Rice, Curd, Ghee, Fryums","White Rice, Curd, Ghee","White Rice, Curd, Ghee, Fryums White Rice, Curd, Ghee, Fryums White Rice, Curd, Ghee, Fryums White Rice, Curd, Ghee,",,,
,Dal,,,,,,,
,Stew,,,,,,,
,Starter,,,,,,,
,Accompainment,Aloo 65,,,Cabbagae Pokoda,Donda Dum Fry,Aloo Methi Fry,Cluster Beans
,Sweet,Mix. Veg Curry,Bendi Do Pyaza,Aloo Masala/ Beerakaya ChanagapapPapnueer/Palaka Paneer Curry,,Butter Thotakura Pulusu,Chole Masala,Gummadi kaya Curry
,Spl Rice,Pesarappu,,,Tomato Dal,,Beera kaya pappu,
,Soup,Papper Rasam,Sambar,Sambar,Pepper Rasam,Dappalam,Tomato Rasam,Pappu Charu
,Chutney,,Veg Noodles/Shangai Fried Noodles,Carrot/Plain Dosa,Chapathi,Veg Manchuria,Poori,
,Roti,Karam Chitlu Podi,Hot Garlic /Chilly and Tomato sauce,Putana Chutney & fried Onion,Fresh Chutney,Raita,,
,Compulsory Items,Jalebi/Jangri,,Double kameta/Gulab Jamun,,,,Sweet
,,,Tomato Pulao,,,Aloo Rice,,Dadhojanam
,,,Manchow Soup,,,,Veg Clear Soup,
,,,Snake Guard Dhai Chutney,Pickle,,,Pudina Chutney,Lemon Pickle
,,Roti,,,,Roti,,Roti
,,"White Rice, Curd, Ghee, Fryums","White Rice, Curd, Ghee, Fryums","White Rice, Curd, Ghee, Fryums","White Rice, Curd, Ghee, Fryums White Rice, Curd, Ghee, Fryums White Rice, Curd, Ghee, Fryums White Rice, Curd, Ghee, Fryums",,,
